page,text,char_count
36,"Emirates NBD AM’s Responsible Investing Strategy 
Emirates NBD AM integrates ESG considerations into its 
investment approach, recognising the role of sustainability in 
enhancing long-term value creation. While maintaining a primary 
focus on delivering strong financial returns, the approach 
remains aligned with Shari’ah principles and international best 
practices.
The Group’s ESG and responsible investment strategy is 
guided by the UN Principles for Responsible Investment and 
institutionalised through its Responsible Investment (RI) policy, 
which applies to active investments, passive investments and 
externally managed assets, covering 50% to 60% of each 
category. The policy is structured around three core pillars:
• 
Commitment to active ownership through engagement with 
partner companies on ESG issues.
• 
Commitment to exclusion based on the nature of 
companies’ activities.
• 
Commitment to integration of ESG factors into investment 
decisions or selection of best-in-class companies based on 
ESG performance.
The policy outlines sector-specific guidelines, ESG integration 
factors and approaches for outcome identification and 
measurement. It applies to all active discretionary funds and 
mandates, while for non-discretionary mandates, the Group 
seeks to progressively educate the investor base to achieve 
improved ESG outcomes.
Emirates NBD AM further recognises that responsible investing 
extends beyond financial decisions. Active engagement with 
investee companies is a key component, aimed at encouraging 
sustainable business practices to drive better long-term 
financial outcomes. This engagement includes formal meetings, 
informal discussions, voting, and, when necessary, divestment. 
All strategies are carefully evaluated to ensure alignment with 
the Group’s responsible investment values.
Syndicated Loans 
offered by Emirates NBD Capital represent a collaborative financing 
approach where multiple lenders come together to provide substantial 
capital to borrowers. This product allows for the diversification of 
risk among the participating financial institutions, with each lender’s 
contribution being reflected as a loan asset on their respective balance 
sheets. This classification underlines the commitment of Emirates NBD 
Capital to facilitate significant financing opportunities while promoting 
shared responsibility in sustainable finance.
Emirates NBD Capital’s Finance Advisory services 
services are essential for structuring and arranging funding solutions 
for clients. When acting as a financial advisor, the firm’s contribution is 
quantified by the apportioned value of the funding amount at the time 
of execution, with the reported value reflecting an equitable division 
among all advising parties. This approach to reporting underscores 
Emirates NBD Capital’s transparent and collaborative strategy in financial 
facilitation, ensuring that clients receive expert guidance and tailored 
advisory services to secure the necessary capital for client ventures.
Loans & Syndications
Debt Capital Markets
Equity Capital Markets & Corporate Finance
Structuring of green/social/sustainability loans 
including creation of frameworks and advising on 
use of proceeds
Structuring of green/ social/ sustainability bonds and Sukuk 
including creation of frameworks and advising on use of 
proceeds
ESG Rating Advisory
Structuring of sustainability – linked loans 
including negotiation and KPIs and SPTs
Structuring of sustainability – linked bonds and Sukuk 
including KPIs and SPTs
Transition/change Management Advisory
Transition Finance Advisory and Structuring
Transition Finance Advisory and Structuring
General ESG Advisory
ESG Rating Advisory
ESG Rating Advisory
Committed to support clients reduce carbon 
footprint and contribute to the regional goal 
of achieving net zero emission by 2050
General ESG Advisory
General ESG Advisory
Strategy
Investment Banking Sustainable Finance Products
Emirates NBD Capital demonstrates a strong commitment to sustainable finance through its comprehensive suite of products, including Green, Social, 
Sustainability and Sustainability-Linked Bonds/Sukuks, as well as short-term Debit Capital Markets, instruments which provide flexible and immediate financing 
solutions, catering to the liquidity needs of sustainable projects and operations. 
As a key bookrunner, within Equity Capital Markets, where Emirates NBD Capital’s expertise in equity offerings further supports the growth of responsible and 
sustainable enterprises. Collectively, these efforts highlight the firm’s strategic facilitation role in mobilising capital for projects and companies that contribute to 
sustainable development goals, complemented by its direct financing of projects through innovative and impactful lending products, as listed below:
36
Emirates NBD Group 2024 IFRS S1 and S2 Report",4887
37,"Sustainability Initiatives in Retail Banking 
At Emirates NBD, our sustainability strategy extends 
to our retail banking segment, where The Group has 
introduced new sustainable offerings and continue to 
build on existing products:
Sustainability initiatives across our operations: 
Emirates NBD is a recognised regional leader in 
developing sustainable and energy-efficient retail 
bank branches. Emirates NBD is the first bank in the 
MENAT region to have a bank branch certified to LEED 
Platinum level by the US Green Building Council and its 
LEED programme, the world’s most widely used green 
building rating system.
Emirates NBD’s Global Markets and Treasury Carbon 
Credits Trading Desk 
Emirates NBD’s Global Markets and Treasury 
department operates a carbon credit desk, created 
to trade voluntary carbon credits and Renewable 
Energy Certificates to clients seeking to offset carbon 
emissions. The service is offered to enable local and 
regional companies operating in the aviation and 
heavy industry sectors in Europe to offset their current 
and future carbon footprints, as required by European 
regulations pertaining to these sectors. 
The creation of the desk reflects the Group’s 
awareness of sustainability-related opportunities in 
the region arising from global changes in regulation 
and demonstrates our intentions to ensure that 
regional entities are empowered to operate 
sustainably in accordance with both local and global 
regulations and ambitions.
The Group’s cohesive and diverse strategy ensures 
that, as it pivots towards integrating sustainability 
and ESG considerations across its value chain, 
it is strategically poised to capture emerging 
opportunities. 
Bio Cards
Emirates NBD launched the UAE’s first eco-
friendly payment card, made from recycled 
plastic. The bio card supports Smart Touch 
and Face ID innovations, enabling secure 
banking transactions without the need to enter 
usernames and passwords every time
Green auto loans
Emirates NBD offers a range of green auto 
loans designed to support the purchase of 
environmentally friendly vehicles, such as electric 
and hybrid cars.
Sanad
The Sanad Card is a special card issued by the 
Community Development Authority (CDA) of 
Dubai for individuals with disabilities. Emirates 
NBD offers several exclusive benefits and 
services to Sanad cardholders, designed to 
enhance their banking experience and meet their 
specific needs.
Strategy
37
Emirates NBD Group 2024 IFRS S1 and S2 Report",2501
38,"Emirates NBD has integrating environmental and social 
considerations into its strategic decision-making 
processes within the organisational structure (Refer 
to the governance section for more information about 
how the Group manages sustainability throughout the 
Group). 
 
3.4 Sustainability linked strategic 
decision-making
 
3.5 Current and future anticipated impact on financial performance
Managing Trade-Offs during Strategic Decision 
Making
The trade-offs between sustainability-related risks 
and opportunities are carefully considered by the 
various decisioning bodies across the Group relying 
on the policies and frameworks applicable to their 
specific line of business. Lending decisions are guided 
by the Sustainable Finance Framework, while the 
Asset Management business drawn on the RI Policy. 
The relevant decisioning bodies weigh the social 
and/or environmental benefits against the returns 
they generate. The potential negative impacts of 
the financing decisions are also taken into account 
to ensure that Emirates NBD does not contribute to 
significant environmental and social degradation. 
Overall, Emirates NBD’s strategy reflects a 
comprehensive understanding of the importance 
of sustainability in risk management and decision-
making. The Group’s policies, systems and controls, 
along with its Operational Risk framework and 
governance structure ensure that sustainability is 
embedded in its corporate DNA, creating a culture of 
responsible banking that that prioritises long-term 
environmental and social considerations alongside 
financial performance.
Environmental, Social, and Governance (ESG) Risk
The rapidly changing global landscape, characterised by challenges like climate change and evolving stakeholder expectations, necessitates a proactive approach to ESG. 
The Group is continually refining its ESG strategy in line with both regional and global standards and is enhancing the impact of various ESG related material risks that potentially 
have an impact on the Group’s cash flows, access to finance or cost of capital over the short, medium or long term. Emirates NBD Group is committed to providing stakeholders 
with a comprehensive understanding of the financial impacts of sustainability-related risks and opportunities. For the current reporting period, Emirates NBD is focusing on 
qualitative disclosures and stand-alone number that offer valuable insights into these impacts. This decision reflects our prudent approach to ensure the information shared is 
both meaningful and reliable.
Current and anticipated impact associated with Sustainable Finance activities
Emirates NBD has made significant strides in embedding sustainability into its lending strategy, as evidenced by the establishment of the Sustainable Finance Framework. This 
framework is designed to guide the allocation of proceeds from Sustainable Finance instruments towards projects that support the transition to a low-carbon economy and 
provide positive societal impacts. Embedding sustainability into the core business activity of lending has a direct positive impact on the Group’s financial performance.
For the reporting period, Sustainable Finance instruments have had a tangible impact on Emirates NBD’s financial position, performance and cash flows. The allocation of 
net proceeds towards Eligible Green and Social Assets has led to investments in projects that not only align with the UN SDGs but also contribute to the Group’s profitability, 
improved cashflow and risk mitigation. These investments have resulted in enhanced energy efficiency, renewable energy generation and support for essential services, which 
have immediate financial benefits in terms of cost savings and revenue generation.
Strategy
38
Emirates NBD Group 2024 IFRS S1 and S2 Report",3812
39,"The Group’s total issuances for 2024 amount to USD 2.38 billion, of which USD 1.13 billion is conventional financing, and USD 1.25 billion is sustainable financing. Of the sustainable finance issuances, USD 750 million are attributed to 
sustainable Sukuks, while USD 500 million is attributed to Sustainability Linked Loan Financing Bonds.
The effects of sustainability and climate-related risks and opportunities relating to the Group’s material topics are reflected in in the FY 2024 financial statements. For further information, refer to the following areas and notes within our FY 
2024 financial statement.
Looking ahead, Emirates NBD expects sustainability-related risks and opportunities to increasingly influence its financial planning and outcomes across the short, medium and long term. The Group remains committed to aligning the 
allocation of funds for its Eligible Loans/Financing Portfolio with the net proceeds from its Sustainable Finance Instruments within 24 months of issuance, reinforcing financial resilience and delivering value to stakeholders.
Strategic investments in sectors such as renewable energy, green buildings and clean transportation are expected to generate financial returns while addressing environmental risks. Additionally, support for social initiatives, including 
affordable housing and healthcare development, aims to promote inclusive growth and enhance community well-being, fostering broader economic stability.
Emirates NBD integrates the costs and benefits of managing environmental and social risks into its financial planning, embedding sustainability as a core component of its growth strategy. By aligning with global sustainability standards, 
the Group positions itself to capitalise on opportunities arising from the transition to a sustainable economy while mitigating associated challenges.
This proactive approach supports portfolio diversification, enables access to emerging sectors and strengthens the Group’s balance sheet. Through sustainable investments and practices, Emirates NBD enhances financial stability and 
ensures long-term, resilient growth.
Strategy
Material Topic
Area
Item
Sub Items
References
Financing Transition
Sustainable Finance Balances
Assets
• 
Loans and receivables
• 
Investment Securities
• 
Note 12
• 
Note 11
Liabilities
• 
Debts Issued and other borrowed 
funds
• 
Sukuk payable
• 
Note 18
• 
Note 19
Income Statement
• 
 Interest and similar Income
• 
Interest and similar expense
• 
Note 24
Sukuk
• 
Income from Islamic financing and 
investment products
• 
Note 25
• 
Note 26
Achieving Net Zero
Purchases of Renewable Energy 
Certificates
General and Administrative Expenses
• 
Marketing-related expenses
• 
Note 30
Digital Transformation
Generative AI and MSM implementation
General and Administrative Expenses
• 
Information Technology cost
• 
Note 30
Positive Social Impact
Talent Acquisition
General and Administrative Expenses
• 
Staff Costs
• 
Note 30
39
Emirates NBD Group 2024 IFRS S1 and S2 Report",3005
40,"Emirates NBD recognises that its commitment to 
sustainability offers far-reaching benefits for both 
the communities and economies in which it operates 
and the organisation itself. The Group’s sustainability 
strategy aligns with its core values, driving commercial 
opportunities and positively contributing to the 
balance sheet, while enhancing resilience.
The Group’s governance framework promotes 
diversity, ethical business conduct and skills 
development, laying the foundation for strong growth.
Internal policies that embed inclusivity and diversity 
foster adaptability and broaden perspectives, 
ensuring effective change management. The code of 
conduct upholds integrity and professionalism within 
the organisation, while supplier engagement policies 
ensure alignment with these values. These measures 
safeguard the Group’s reputation and long-term 
stakeholder interests.
The Sustainable Finance Framework, Environmental 
and Social Risk Policy Framework, Climate Risk Policy 
and Group Credit Policy play vital roles in identifying, 
assessing and mitigating environmental and social 
impacts. By scrutinising financing to high ESG risk 
sectors such as palm oil and coal, the Group gradually 
transitions its portfolio to align with sustainability goals 
and anticipates market shifts.
The Group’s sustainability strategy remains central to 
its operations, enabling continued support for the UAE 
economy, the MENAT region and society, establishing 
Emirates NBD as a financial institution integral to the 
economic and social fabric for years to come.
The Group aims to quantitatively report on the financial 
impact of climate-related risks and opportunities 
in these areas starting in 2025. Subsequently the 
resilience of our business strategy considering the 
climate-related risks and opportunities shall also be 
presented.
Climate-induced changes that are pervasive in nature are expected to aggravate financial impacts. 
 
3.6 Resilience
 
3.7 Our approach towards climate change
Figure 7:https://www.ngfs.net/ngfs-scenarios-portal/explore/
Strategy
40
Emirates NBD Group 2024 IFRS S1 and S2 Report",2131
41,"The Group recognises climate-related financial risks as a potential threat to 
its business and the stability of the overall financial system. The Group defines 
climate risks as:
These result from climate change and environmental 
factors that are event driven (acute) or longer-term 
shifts (chronic) and may increase further due to 
the trajectory of the current policies. For example: 
stranded assets, decreased valuations, lack of 
insurance coverage and damage to production 
facilities and supply chain disruptions.
The MENAT region is especially susceptible to the 
physical risks of climate change, and its effects have 
already impacted the Group’s operations in the 
region. The major hazards to which our GCC assets are 
exposed are:
• 
Rising temperatures and humidity in the Middle 
East are leading to more frequent and intense 
heatwaves and exacerbating heat stress, posing 
health risks for outdoor workers and vulnerable 
members of the population. The extreme heat also 
increases energy demand for cooling, straining 
power grids and leading to further increased 
greenhouse gas emissions.
• 
Rises in sea level threaten coastal cities and 
infrastructure in the GCC, leading to increased 
flooding, coastal erosion and salinisation of 
freshwater resources. This phenomenon is 
particularly concerning for low-lying areas in the 
Middle East, where valuable real estate and critical 
infrastructure are at risk.
• 
Severe rainfall and changing weather patterns are 
leading to more intense and unpredictable flooding 
events, causing significant damage to homes, 
infrastructure and agricultural lands. These floods 
also disrupt daily life, displace communities and 
pose serious public health risks due to waterborne 
diseases.
• 
Prolonged droughts are becoming more common 
in the Middle East, severely impacting water 
availability for drinking, agriculture and industry. 
Drought conditions are leading to reduced crop 
yields, increased food prices and heightened 
competition for scarce water resources, which can 
exacerbate social and political tensions.
The interaction between hazard, vulnerability and 
exposure produces the overall effect of physical 
climate risk and the Group has planned implementation 
of physical risk measurement across the following 
phases: 
• 
Phase 1 – An assessment of climate data 
projections will be performed consistent with 
current and future data for different time horizons. 
• 
Phase 2 – Operational site impacts will be 
performed to assess physical risks from climate 
change to physical assets. 
• 
Phase 3 - Safety, cost and productivity impacts will 
be performed across the Group to ensure physical 
climate change factors are added to business 
resilience planning. 
• 
Phase 4 – Financial impacts modelling 
incorporating assessment results will feed into 
internal planning models to understand physical 
asset value at risk and potential value at risk. These 
will then be incorporated into business planning 
and investment decisions.
Climate Transition Risk refers to the financial and 
operational risks that arise as economies shift from fossil 
fuel-based systems to low-carbon and sustainable 
practices. This transition can be driven by regulatory 
changes, technological advancements, market 
shifts and changing consumer preferences aimed at 
mitigating climate change. Specifically in the MENA 
region, climate induced transition risk could involve:
• 
Regulatory changes such as introduction of Carbon 
Pricing: Nations within the GCC are considering the 
adoption of carbon pricing strategies to encourage 
the reduction of emissions. For example, the 
introduction of a carbon tax on certain industries 
could lead to higher operational costs for businesses 
heavily dependent on fossil fuels, affecting their 
profit margins and market position.
• 
Diversification efforts in energy sector and 
investment in Renewable Energy: Authorities in 
the MENA region is focusing on broadening their 
economic base beyond petroleum. Companies 
that fail to align with this transition risk losing their 
competitive edge. Traditional energy firms, for 
instance, might experience a drop in income if they 
do not embrace renewable energy technologies, as 
the demand for cleaner energy solutions increases.
• 
Changing consumer preferences and growing 
demand for sustainable products: The growing 
consciousness about environmental issues is leading 
consumers to prefer eco-friendly products and 
services. Should a significant portion of the MENA 
population start favouring electric vehicles over 
conventional gasoline-powered cars, manufacturers 
who do not adapt their offerings accordingly could 
witness a decline in sales.
• 
Stranded assets and fossil fuel investments: In 
the MENA region, substantial investments in fossil 
fuel reserves might become obsolete if the global 
energy demand pivots to renewable sources. The 
potential devaluation of these assets, triggered by 
market shifts or new regulatory measures, could 
result in significant economic losses.
Physical Risks 
Transition Risks
Strategy
41
Emirates NBD Group 2024 IFRS S1 and S2 Report",5155
42,"Strategy
In 2024, Emirates NBD implemented its Climate Risk Policy (CRP) across the Group to address material climate risks 
and potential impacts from credit facility counterparties and vendors. The CRP applies to all Group entities, including 
the Head Office, domestic and international branches and subsidiaries, across all countries of operation. The policy 
covers the following business segments:
As part of the CRP’s requirements, a materiality assessment of climate risks has been established to evaluate the 
exposure and severity of transition risks. The assessment ensures proactive monitoring and management of these 
identified risks within the Group. Key components of the materiality assessment include:
1. 
Leveraging updated and relevant climate risk assessment scenarios
2. Expanding the scope of portfolio coverage, analysing the distribution and concentration of climate risks within 
the in-scope portfolio
3. Estimating financed emissions and transition pathways for counterparties
The adoption of scenario analyses provides a flexible framework for forward-looking climate risk assessment, 
allowing structured assumptions about different potential futures. Emirates NBD has implemented the climate 
scenarios prescribed by NGFS and the CBUAE, which help assess the impact of various climate actions on the 
Group’s portfolio. These time horizons will be integrated into the Group’s capital allocation plans and core business 
strategy.
Corporate & Institutional 
Banking Clients
Retail Banking and Wealth 
Management – Business 
Banking 
1
2
42
Emirates NBD Group 2024 IFRS S1 and S2 Report",1615
43,"Emirates NBD has assessed its credit exposures for the top 50 customers in sensitive sectors that could be heavily impacted by climate actions. This assessment aimed to understand the Group’s exposure to transition risks. The analysis 
covered short, medium and long-term time horizons (current impact, 2030, 2040 and 2050) and utilised projected macroeconomic and microeconomic growth inputs under various scenarios provided by the CBUAE.
The analysis focused on the top 50 clients in sectors most vulnerable to transition risks, with significant exposure in “hard-to-abate” sectors which are elaborated in section 4.5.1.
Following this analysis, Emirates NBD updated its Risk Appetite Statement to reflect a revised approach to transition risks, including the cessation of future financing for thermal coal. The results from stress testing were also considered 
when making financing decisions, particularly in relation to a client in the transportation sector working to electrify its fleet, ensuring that the company could maintain cash flow under climate-related regulations.
Currently, the results of this analysis inform risk considerations across the Group’s lending activities. In the future, these findings will be incorporated into quantitative risk models and formal decision-making processes.
2. Emissions Tracking 
The Group has advanced its GHG emissions tracking efforts. This has led to more accurate and comprehensive emissions data collection. The Group also continued financed emissions tracking, providing an estimate of the absolute 
emissions associated with investments in select sectors
Based on the above learnings and interim outcomes, the Group has identified the potential impacts of the transitional climate risks on our business model.
Figure 8: Potential impacts of transitional climate risks on our business model
1. Transition Risks Stress Testing
 
3.8 Impact across business and value chain
Strategy
Material Topic
Area
Item
Sub Items
Policy & Regulation
• 
Carbon taxes
• 
Transition mandates
All departments
Medium term
Technology
• 
Replacement of outdated and inefficient servers and equipment
All departments
Short term
Consumer Preferences
• 
Customers preferring carbon-neutral institutions
Retail Banking, Commercial banking 
Short and medium term
Reputational
• 
Perception of being unfriendly to the environment
• 
Lagging behind competitors
All departments
Short and medium term
Credit
• 
Defaults by businesses and householders
• 
Collateral Depreciation
Retail banking, Commercial banking
Short term
Market
• 
Repricing of equities, fixed income, commodities
Investment Banking
Short term
Liquidity
• 
Increased demand for liquidity
• 
Refinancing risk
Retail banking, Commercial banking, Investment Banking
Short and medium term
Operational
• 
Supply chain disruption
• 
Forced facility closure
All departments
Medium term
Underwriting
• 
Increased insurance losses
• 
Increased insurance gap
Commercial Banking
Medium and long term
43
Emirates NBD Group 2024 IFRS S1 and S2 Report",3031
44,"The Group recognises that assessing the exposure 
of financial systems to physical risk requires detailed 
information on the geo-spatial characteristics of 
financial institutions’ exposures, alongside data on 
physical risk drivers. In many cases, location information 
for counterparties is available only at an aggregated 
level, lacking precise details on the specific address of a 
counterparty’s operations.
Beyond the granularity of counterparty location, 
physical risk analysis depends on both the spatial detail 
of physical risk drivers and the temporal perspective. 
Physical risk indicators based on historical data may 
fail to fully capture risks that are rapidly evolving from a 
future viewpoint.
Given the above challenges associated with the physical 
risk assessments, Emirates NBD has embarked on 
collecting granular data for the counterparties mainly 
in lending portfolio. The Group aims to undertake 
gradual yet firm steps to fully establish and physical 
risk assessment programme and realise its outputs to 
identify the complete set of risks arising from climate 
change.
While understanding the nature, drivers and impact of 
climate change-induced risks on financial statements 
remains an evolving process, the Group is confident 
that climate-related opportunities will outweigh the 
decrease in business resulting from climate mitigation 
efforts.
The Group’s commitment to sustainability is further 
demonstrated by its participation as one of the seventh 
cohort of 15 signatories in the UAE, pledging to carbon 
emission reduction goals and sustainable operations 
management in alignment with the UAE’s national path to 
climate neutrality by 2050.
The Group has committed to USD 30 billion of 
sustainable finance provision by 2030 illustrating the 
scale of ambition in this area. 
As Emirates NBD progresses in its path to sustainability, 
the Group has established a Sustainable Finance 
Framework (the “Framework”) to issue Sustainable 
Finance Instruments that finance and refinance projects 
enabling the transition to a low-carbon and climate-
resilient economy, and/or provide positive societal 
impact and mitigate social challenges.
The successful launch of Emirates NBD’s Sustainable 
Finance Framework in 2023 marked a significant 
milestone, with the raising of USD 750 million through the 
largest green bond ever issued by a bank in the MENA 
region. The Framework, supported by a Second Party 
Opinion from Institutional Shareholder Services ESG, 
facilitates the issuance of green and sustainable debt 
instruments to finance projects that contribute to a low-
carbon and climate-resilient economy. The opportunity 
landscape emerging through sustainable finance is 
outlined in detail in the previous section.
3. Physical Risks
4. Opportunities
Strategy
44
Emirates NBD Group 2024 IFRS S1 and S2 Report",2860
45,"The Group has embarked on a strategic approach 
to embed climate risks within its core strategy and 
decision-making processes. Further updates on 
progress will be shared in subsequent disclosures. 
As the climate-related disclosure landscape 
continues to evolve, it is recognised that standard-
setters have made significant efforts to achieve 
alignment. However, it is anticipated that the 
landscape will continue to consolidate and become 
more specific. The Group continues to monitor 
developments in this space and uses these as 
signals to further enhance its strategy.
At this stage, there are no specific trade-offs 
to report regarding the identification and 
management of climate risks.
 
3.9 Impact of climate risks on strategy and decision-making
Emirates NBD recognises that the global effects of 
climate change are undeniable. As historic emissions will 
cause the majority of climate change for the next few 
decades, the resulting transition risks will have a more 
direct and immediate financial impact. 
The UAE has understood the need to transition, and 
the UAE’s 2020 updated Nationally Determined 
Contributions (NDCs) set the pace for Emirates NBD to 
mitigate GHG emissions as it contributes to the energy 
transition. The NDCs target a 40% reduction in GHG 
emissions for the year 2030 relative to the Business-As-
Usual (BAU) scenario, paving the way for the UAE’s 2050 
Net Zero ambition – a target with which Emirates NBD is 
aligned. 
Clear and consistent climate actions are an imperative 
for the banking sector to develop and frame their 
response to climate change, as well as demonstrating 
to stakeholders and the broader economy that they fully 
understand and are taking account of climate change in 
business decisions. 
The Group’s current climate change strategy focuses 
on: 
• 
Effectively managing climate related risks and 
opportunities
• 
Developing a culture of climate awareness and 
response
• 
Reducing operational GHG emissions
• 
Implementing a Financed Emissions reduction 
strategy to contribute to UAE’s National Vision of Net 
Zero by 2050
• 
Supporting emissions reduction in our value chains
• 
Supporting key ecosystem partners with resources 
to jointly combat critical threats and maximise 
opportunities.
Through this strategic planning we seek to:
• 
Establish a programme to conduct climate sector 
analysis to identify, measure and quantify material 
climate risk exposure in the portfolio
• 
Identify key climate risk drivers for the Group and 
across different time horizons and the rationale 
underpinning the selection of these
• 
Define detailed plans on mitigation and establish key 
targets and interim milestones for risk management 
and portfolio decarbonisation efforts
• 
Establish Portfolio alignment activity required to 
achieve the Group’s Net Zero 2050 ambitions and 
external commitments, with a clear strategy to 
support the transition to a low carbon economy
• 
Enhance the Group’s governance structure and 
approach to Net Zero activities.
Strategy
45
Emirates NBD Group 2024 IFRS S1 and S2 Report",3090
46,"3.10 Financial effects of climate-related 
risks and opportunities
Given the early nature of the Group’s programmes 
around climate risk assessment and decision making, 
there are no implications in the current reporting period 
towards financial impacts that are due for reporting. 
The interplay of climate risk drivers and existing financial 
vulnerabilities is unevenly spread across geographies, 
sectors and firms across the Group’s business portfolio, 
which requires a strategic approach to identify these 
risks and plan for mitigation. Effectively managing these 
risks is vital for sustainable growth and the transition 
to a low-carbon economy, impacting households, 
businesses and the broader economy. The Group 
integrates climate risk into its broader environmental 
and social risk strategy, which is embedded in the Group 
Risk Management Framework and follows a three-
lines of defence approach (details provided in the Risk 
Management Section of this report).
The BOD holds ultimate responsibility for climate-
related risks, shaping the ESG strategy and receiving 
regular updates from the Executive Committee on its 
progress.
Impact of Climate Risk on Accounting Judgments and 
Estimates
The Group is assessing the financial impacts of climate-
related credit risk. Ongoing analyses will help identify 
risks and opportunities that affect financial position, 
performance, planning and cash flows, along with 
actions taken to manage these. 
As at 31 December 2024, the Group raised USD 4.60 
billion in debts and sukuk through sustainable and green 
financing in the debt capital markets.
Strategy
46
Emirates NBD Group 2024 IFRS S1 and S2 Report",1671
47,"04
Risk
management",18
48,"4.1 Sustainability-related risk 
management overview
 
4.2 Upstream sustainability risks
 
4.3 Risks management across internal 
operations
As a financial institution, Emirates NBD is susceptible 
to a broad range of financial and non-financial risks 
across its value chain, with ESG and climate-related 
risks being an important subset. These risks vary in 
concentrations, degrees and intensities, and can have 
differentiated impacts on Emirates NBD’s business and 
operations. Details of the Group’s overall approach 
to risk management can be found in the Group Risk 
Management Framework, Group Risk Appetite 
Statements and other detailed policies and frameworks.
At Emirates NBD, ESG and climate risks are integrated 
into the existing risk processes across the Group. This 
section of the report focuses on this specific subset 
of ESG and sustainability-related risks, along with the 
policies and procedures that form the basis of the 
sustainability risk management approach.
Further, within this subset of sustainability risks, the 
Group has specifically detailed its approach to climate-
related risks. Climate-related risks are pervasive across 
every aspect of the value chain and can have a direct 
effect on multiple portfolios and business activities of 
the Group. Given the specific interest in disclosures 
surrounding climate risk management for users of 
general-purpose financial statements, including 
investors, lenders and other creditors, a dedicated 
section on climate-related risk management has been 
developed, in line with the requirements of the IFRS S2 
standards.
The Group Compliance team is responsible for 
assisting the Group’s Senior Management in designing, 
implementing, delivering and supporting a framework to 
ensure appropriate measures to mitigate all compliance 
risks, including upstream risks. 
The Group has a strong anti-money laundering policy 
that is continually updated based on regulations and 
market dynamics. Additionally continued improvements 
were made to the Group’s mandatory AML and Sanctions 
Compliance training programmes with updated 
content in line with new regulatory requirements and 
tailored to better support the Group’s main businesses, 
considering staff in customer-facing/non-customer 
facing roles
There are several types of sustainability related risks 
concentrated within our internal operations that could 
have a potential impact on a Group’s balance sheet.
The identification and mitigation of these risks are a 
cornerstone of our sustainability strategy.
Employee welfare, including fair labour practices and 
a safe working environment, is strongly prioritised to 
mitigate these risks. A comprehensive risk mitigation 
strategy is employed to ensure a supportive and safe 
work environment, with extensive health and wellness 
programmes, such as mental health resources, regular 
health screenings and robust insurance coverage
The Group enforces strict health and safety protocols 
through annual trainings, and wellness initiatives.
The Group also supports a healthy work-life balance for 
employees with flexible work arrangements and career 
comeback programs.
To address workplace conduct, Emirates NBD maintains 
a zero-tolerance policy towards discrimination and 
harassment, backed by mandatory training and 
accessible reporting channels.
Additionally, the Group invests in professional 
development through partnerships with educational 
institutions and specialized leadership programs. Our 
Disability-Friendly Branches project and assistive 
technologies further enhance inclusivity. 
These measures collectively foster a resilient, inclusive, 
and engaging work environment, reflecting Emirates 
NBD’s commitment to employee well-being and 
development.
1. Managing risks associated with employee 
satisfaction, workplace wellbeing and lowering of 
attrition: 
Risk management 
Risk management
48
Emirates NBD Group 2024 IFRS S1 and S2 Report",3955
49,"2. Managing risks associated with Data 
Security & Privacy
3. Risk management in supplier acquisition
To mitigate data security and privacy risks, the Group 
prioritises the security of stakeholder data by aligning 
its Information Security and Cybersecurity strategies 
with the National Institute of Standards and Technology 
Cybersecurity Framework and the International Security 
Forum (ISF) Standard of Good Practice for Information 
Security. This ensures compliance with evolving global 
security and data privacy regulations.
The Group’s comprehensive security measures feature 
regular internal and independent audits, a multi-
layered security approach managed by specialised 
units and a vigilant 24/7 monitoring team, The Group 
Information Security and Data Privacy Office diligently 
oversees the implementation of strict data protection 
policies. The Group Information Security Committee 
(Group ISC) leads our information security initiatives 
and holds critical responsibility of setting, approving, 
and directing our information security policies and 
strategy. Our commitment to protection of customer 
information is embedded in our Security Culture through 
comprehensive employee awareness and trainings, 
including mandatory annual privacy training for all 
colleagues, with additional tailored sessions as needed. 
Initiatives such as the “Cybersecurity Awareness Month”, 
actively engage employees in reinforcing a strong 
privacy and security culture. 
The Emirates NBD Group’s strategy to manage data 
security throughout its value chain also includes 
advanced security, privacy and data protection controls, 
operational resilience, thorough third-party and vendor 
assessments, strict adherence to regulatory compliance 
and a proportionate data retention policy. Moreover, 
the Group’s commitment to data protection is further 
emphasised through regular employee training and 
customer education on evolving risks and threats.
The Group recognises that its suppliers play a crucial 
role in its success and reputation. Emirates NBD 
effectively manages supplier risk exposure by adhering 
to the principles of the CIPS Advanced Procurement 
Certificate in Ethical Procurement and Supply, awarded 
to the Group in 2020. By ensuring transparency, 
compliance with regulations and fair competition 
in vendor selection, the Group prevents bias and 
corruption.
Social responsibility is a key consideration, with an 
understanding of the impact procurement decisions 
have on communities, promoting responsible business 
practices. Any potential conflicts of interest are handled 
with care to maintain objectivity and fairness, while 
strong, trust-based relationships with suppliers are 
fostered. Procurement risks are continuously assessed 
and managed
This commitment to ethical practices and continuous 
improvement minimizes our exposure to reputational 
risks and upholds the integrity of the Group’s operations. 
Risk management 
49
Emirates NBD Group 2024 IFRS S1 and S2 Report",3017
